GeneA_HOG	GeneA_ID	GeneB_HOG	GeneB_ID	Overlapping_branches	Slope	P_R2	P_Pval	S_R2	S_Pval	P_FDR_Corrected_Pval	S_FDR_Corrected_Pval
HOG0000116	Atha__AT3G28470	HOG0013746	Atha__AT4G11270	30	0.443093542190001	0.545929351958291	3.121016148997346e-06	0.5071214215275655	1.0165947453160923e-05	0.0018565486350905149	0.013479180739207265
HOG0000116	Atha__AT3G28470	HOG0016904		25	0.8186970188906737	0.5240340507504045	4.306871348019353e-05	0.5117751479289941	5.829401700188119e-05	0.010204284126726542	0.042292273185111445
HOG0000211	Atha__AT2G42940	HOG0014217	Atha__AT1G32127	23	1.0940534813704956	0.7867517079618569	1.7220817993627103e-08	0.5565867690481027	4.368973364657278e-05	3.9815327835242776e-05	0.03579641973624362
HOG0000358		HOG0016919	Atha__AT5G26230	22	0.6582253579347512	0.6038941343416767	2.096331008861899e-05	0.6528931996489017	5.410463314501641e-06	0.00655153031505896	0.008265151467723861
HOG0000371		HOG0014201	Atha__AT3G15430	12	0.3054514878016006	0.7970624206670078	9.296709139913168e-05	0.8012127732407452	8.36658642909172e-05	0.01598790410858538	0.05110238492590211
HOG0000405		HOG0009478	Atha__AT3G51780	17	0.4037917376640865	0.7263313424686781	1.3998655893175344e-05	0.6661440311418687	6.449255889681113e-05	0.005091443438915602	0.04462036048534004
HOG0000417	Atha__AT5G14340	HOG0011169	Atha__AT5G08390, Atha__AT5G23430	11	1.0607331146557175	0.8401500200142179	7.245125823546723e-05	0.8767768595041325	2.208207644917754e-05	0.013827044570005376	0.023445208408968393
HOG0000549	Atha__AT3G60330	HOG0002259	Atha__AT5G35630	16	0.640870678734313	0.8697999394311595	1.411602441874182e-07	0.7733650519031143	7.187273041770843e-06	0.00020000403011105115	0.010384173621942376
HOG0000549	Atha__AT3G60330	HOG0012838	Atha__AT4G17070	22	0.8288384325748772	0.6643522659759059	3.838268488014718e-06	0.5940570857223204	2.6982647336559976e-05	0.0021412634555122117	0.02677865369269411
HOG0000600	Atha__AT2G26250	HOG0010750	Atha__AT4G14860, Atha__AT2G32100, Atha__AT1G05420	30	3.1180249271732263	0.5318608753448139	4.840202481730633e-06	0.511567048296154	8.920312755472222e-06	0.002514767174158805	0.012284586258710681
HOG0000600	Atha__AT2G26250	HOG0012915	Atha__AT5G11040	31	0.7570526639035875	0.5137979578432863	5.728236791699287e-06	0.5139964880332988	5.693436391383669e-06	0.0028172504171877642	0.008624537074292548
HOG0000600	Atha__AT2G26250	HOG0013643	Atha__AT4G09630, Atha__AT1G34550	31	1.187134354109572	0.5780227093454711	6.96623426704228e-07	0.599375650364204	3.227789158955484e-07	0.000644639232566177	0.0006396200393848632
HOG0000624	Atha__AT3G03680	HOG0016367	Atha__AT5G02750	22	2.3570988403531965	0.6408396862983275	7.673961792456148e-06	0.5871141845167823	3.213226251313809e-05	0.0034194613226831328	0.029778781693362864
HOG0000624	Atha__AT3G03680	HOG0017213	Atha__AT5G66631	25	1.3540783078166203	0.6044169290082305	4.821318003204011e-06	0.5590437869822487	1.739216623323107e-05	0.0025074628444710276	0.0199959220747861
